time,current,voltage,soc_ground_truth
0,-0.5,4.274636334478381,1.0
1,-0.5,4.1897084449049995,1.0
2,-0.5,4.070292316055588,1.0
3,-0.5,4.171467727787036,1.0
4,-0.5,4.268424729821009,1.0
5,-0.5,4.1087377578895055,1.0
6,-0.5,4.2574979371174315,1.0
7,-0.5,4.196980620335224,1.0
8,-0.5,4.163012485618204,1.0
9,-0.5,4.206227592171745,1.0
10,-0.5,4.155830771309162,1.0
11,-0.5,4.217749820292776,1.0
12,-0.5,4.206165052480891,1.0
13,-0.5,4.178775097098156,1.0
14,-0.5,4.25185303192425,1.0
15,-0.5,4.202280281142149,1.0
16,-0.5,4.223735504825147,1.0
17,-0.5,4.160250658012321,1.0
18,-0.5,4.162186396372536,1.0
19,-0.5,4.276540149710758,1.0
20,-0.5,4.126129717616539,1.0
21,-0.5,4.234702738722187,1.0
22,-0.5,4.245922709880802,1.0
23,-0.5,4.256352655907332,1.0
24,-0.5,4.166372913519437,1.0
25,-0.5,4.164529115593463,1.0
26,-0.5,4.233347100454198,1.0
27,-0.5,4.2025075552593325,1.0
28,-0.5,4.194555071670914,1.0
29,-0.5,4.123779831361498,1.0
30,-0.5,4.177059286748494,1.0
31,-0.5,4.313714801295604,1.0
32,-0.5,4.216709302598117,1.0
33,-0.5,4.177157596063947,1.0
34,-0.5,4.26156984117272,1.0
35,-0.5,4.154718762622954,1.0
36,-0.5,4.208703117442985,1.0
37,-0.5,4.229784522942151,1.0
38,-0.5,4.1661995479268015,1.0
39,-0.5,4.277890305949152,1.0
40,-0.5,4.264409283523137,1.0
41,-0.5,4.189632235264378,1.0
42,-0.5,4.129605452090079,1.0
43,-0.5,4.225221832414154,1.0
44,-0.5,4.065456158376869,1.0
45,-0.5,4.1517574655347085,1.0
46,-0.5,4.244880084394797,1.0
47,-0.5,4.15540631289063,1.0
48,-0.5,4.19516481622356,1.0
49,-0.5,4.18415089124753,1.0
50,-0.5,4.249062263328623,1.0
51,-0.5,4.141003450860766,1.0
52,-0.5,4.319159721201108,1.0
53,-0.5,4.198651689613339,1.0
54,-0.5,4.1320053337169025,1.0
55,-0.5,4.1494019858050155,1.0
56,-0.5,4.174653147742609,1.0
57,-0.5,4.200824992850333,1.0
58,-0.5,4.2190988017007784,1.0
59,-0.5,4.251585316427549,1.0
60,-0.5,4.107612289084999,1.0
